City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,necochea,-38.5473,-58.7368,9.85,54,90,5.11,AR,1698871593
192,fortuna,40.5982,-124.1573,21.63,48,20,2.06,US,1698871593
193,timbuktu,16.7735,-3.0074,31.29,10,100,4.86,ML,1698871593
194,lodwar,3.1191,35.5973,27.0,60,100,3.69,KE,1698871593
195,richards bay,-28.783,32.0377,16.05,79,84,1.44,ZA,1698871594
196,thompson,55.7435,-97.8558,-5.91,68,100,4.12,CA,1698871594
197,langepas,61.2544,75.2124,-8.24,94,100,2.2,RU,1698871594
198,al kharj,24.155,47.3346,26.32,52,11,5.15,SA,1698871594
199,revda,56.801,59.9303,1.14,99,100,1.24,RU,1698871594
200,mossel bay,-34.1831,22.146,14.96,90,100,8.45,ZA,1698871595
201,makokou,0.5738,12.8642,21.25,99,100,0.46,GA,1698871595
202,yemetsk,63.4721,41.7941,-3.34,87,100,4.99,RU,1698871595
203,inhambane,-23.865,35.3833,19.45,83,22,3.61,MZ,1698871595
204,gaiman,-43.2897,-65.4929,19.11,15,0,5.31,AR,1698871595
205,calama,-22.4667,-68.9333,23.27,10,0,11.83,CL,1698871596
206,pemba,-12.974,40.5178,26.27,80,14,4.25,MZ,1698871596
207,punta arenas,-53.15,-70.9167,9.06,43,0,11.32,CL,1698871412
208,celarevo,45.2694,19.5253,11.64,57,100,3.08,RS,1698871596
209,mahdia,35.5047,11.0622,23.97,69,100,9.73,TN,1698871596
210,puerto san jose,13.9256,-90.8244,25.47,80,100,5.79,GT,1698871596
211,ugoofaaru,5.6667,73.0,27.88,75,100,3.2,MV,1698871597
212,jagalur,14.5333,76.35,22.59,77,63,5.06,IN,1698871597
213,labytnangi,66.6572,66.4183,-15.02,94,54,2.41,RU,1698871597
214,cockburn town,21.4612,-71.1419,28.71,77,97,6.13,TC,1698871597
215,stawell,-37.05,142.7667,7.01,93,73,5.47,AU,1698871597
216,ilulissat,69.2167,-51.1,5.01,33,99,16.98,GL,1698871597
217,bereznik,62.8551,42.7072,-3.21,94,100,5.16,RU,1698871598
218,cherlak,54.155,74.8055,-3.15,92,100,5.69,RU,1698871598
219,san kamphaeng,18.7449,99.1195,24.01,99,100,0.51,TH,1698871598
220,afaahiti,-17.75,-149.2833,26.93,83,95,10.53,PF,1698871598
221,mandal,25.45,74.5667,21.43,36,0,2.53,IN,1698871598
222,kokoda,-8.8785,147.7407,24.37,93,100,0.42,PG,1698871598
223,moussoro,13.6408,16.4901,31.24,20,71,5.59,TD,1698871598
224,kuching,1.55,110.3333,27.23,95,40,0.0,MY,1698871599
225,tocopilla,-22.092,-70.1979,20.14,60,22,2.64,CL,1698871599
226,thinadhoo,0.5333,72.9333,27.28,81,80,5.3,MV,1698871599
227,whitefish,48.4111,-114.3376,3.61,86,100,0.0,US,1698871599
228,dudinka,69.4058,86.1778,-14.1,97,100,0.89,RU,1698871599
229,ampere,-25.915,-53.4728,22.44,94,55,4.43,BR,1698871599
230,rabo de peixe,37.8,-25.5833,21.1,99,75,9.26,PT,1698871338
231,grand-bassam,5.2118,-3.7388,26.98,87,36,2.83,CI,1698871600
232,harstad,68.799,16.5293,-1.03,93,6,2.68,NO,1698871600
233,ohara,35.25,140.3833,16.85,71,0,1.75,JP,1698871600
234,fale old settlement,-9.3852,-171.2468,28.53,71,99,3.63,TK,1698871600
235,codrington,-38.2667,141.9667,12.37,69,100,3.57,AU,1698871600
236,chonchi,-42.6128,-73.8092,17.56,44,6,1.94,CL,1698871600
237,isangel,-19.55,169.2667,22.06,73,99,2.57,VU,1698871601
238,sen monorom,12.45,107.2,19.82,93,99,1.93,KH,1698871601
239,haiku-pauwela,20.9219,-156.3051,28.36,68,20,2.06,US,1698871601
240,mar del plata,-38.0023,-57.5575,11.08,59,40,7.2,AR,1698871601
241,buka,40.8108,69.1986,9.8,59,0,1.51,UZ,1698871601
242,subiaco,41.9254,13.0941,12.85,94,100,0.48,IT,1698871602
243,lerwick,60.1545,-1.1494,8.0,96,100,17.85,GB,1698871602
244,roxas,11.5853,122.7511,25.08,89,18,1.31,PH,1698871602
245,hilo,19.7297,-155.09,27.85,78,40,3.6,US,1698871602
246,la passe,45.5549,-0.8967,13.34,86,99,13.14,FR,1698871603
247,alice springs,-23.7,133.8833,19.75,73,100,9.26,AU,1698871522
248,aykhal,66.0,111.5,-24.37,100,97,3.15,RU,1698871603
249,labuan bajo,-8.4964,119.8877,24.59,81,62,1.69,ID,1698871603
250,nan,18.8333,100.6667,20.42,99,30,0.27,TH,1698871604
251,port mathurin,-19.6833,63.4167,24.82,77,11,8.03,MU,1698871604
252,dolinsk,47.35,142.8,3.73,78,78,3.53,RU,1698871604
253,hithadhoo,-0.6,73.0833,27.18,81,98,6.47,MV,1698871604
254,portland,45.5234,-122.6762,12.02,84,100,6.17,US,1698871106
255,riyadh,24.6877,46.7219,24.08,60,46,4.13,SA,1698871292
